timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2026-03-05T13:41:32.828368,neutral,0.268,0.198,0.0,0.076,0.186,0.234,0.036,0.268
2026-03-05T13:41:32.837154,neutral,0.272,0.216,0.0,0.072,0.17,0.234,0.032,0.272
2026-03-05T13:41:32.895613,neutral,0.294,0.212,0.0,0.072,0.152,0.238,0.028,0.294
2026-03-05T13:41:32.902310,neutral,0.314,0.208,0.0,0.072,0.138,0.24,0.024,0.314
2026-03-05T13:41:33.052865,neutral,0.298,0.222,0.0,0.07,0.122,0.26,0.022,0.298
2026-03-05T13:41:33.066837,sad,0.282,0.218,0.0,0.072,0.118,0.282,0.024,0.28
2026-03-05T13:41:33.097079,sad,0.288,0.21,0.0,0.078,0.114,0.288,0.026,0.28
2026-03-05T13:41:33.102040,sad,0.29,0.224,0.0,0.08,0.112,0.29,0.028,0.262
2026-03-05T13:41:33.162321,sad,0.322,0.224,0.0,0.08,0.108,0.322,0.028,0.234
2026-03-05T13:41:33.167175,sad,0.336,0.206,0.0,0.082,0.106,0.336,0.026,0.242
2026-03-05T13:41:33.204952,sad,0.324,0.208,0.0,0.088,0.106,0.324,0.026,0.248
2026-03-05T13:41:33.223663,sad,0.328,0.214,0.0,0.09,0.106,0.328,0.026,0.236
2026-03-05T13:41:33.268935,sad,0.332,0.212,0.0,0.086,0.104,0.332,0.024,0.242
2026-03-05T13:41:33.289053,sad,0.306,0.224,0.0,0.084,0.104,0.306,0.024,0.258
2026-03-05T13:41:33.369824,sad,0.288,0.236,0.0,0.088,0.104,0.288,0.024,0.26
2026-03-05T13:41:33.379969,sad,0.296,0.228,0.0,0.088,0.102,0.296,0.022,0.264
2026-03-05T13:41:33.513715,sad,0.302,0.238,0.0,0.084,0.104,0.302,0.022,0.252
2026-03-05T13:41:33.520372,sad,0.308,0.256,0.0,0.086,0.108,0.308,0.024,0.222
2026-03-05T13:41:33.558961,sad,0.322,0.252,0.0,0.088,0.104,0.322,0.026,0.212
2026-03-05T13:41:33.565546,sad,0.328,0.248,0.0,0.084,0.1,0.328,0.028,0.216
2026-03-05T13:41:33.612754,sad,0.338,0.238,0.0,0.08,0.104,0.338,0.03,0.214
2026-03-05T13:41:33.625005,sad,0.35,0.21,0.0,0.08,0.104,0.35,0.03,0.228
2026-03-05T13:41:33.679842,sad,0.346,0.206,0.0,0.08,0.096,0.346,0.032,0.24
2026-03-05T13:41:33.688572,sad,0.334,0.224,0.0,0.08,0.096,0.334,0.034,0.232
2026-03-05T13:41:33.778532,sad,0.308,0.234,0.0,0.08,0.106,0.308,0.036,0.236
2026-03-05T13:41:33.795901,sad,0.278,0.25,0.0,0.08,0.108,0.278,0.038,0.246
2026-03-05T13:41:33.835546,sad,0.274,0.254,0.0,0.078,0.108,0.274,0.036,0.248
2026-03-05T13:41:33.849334,sad,0.286,0.234,0.0,0.076,0.116,0.286,0.032,0.252
2026-03-05T13:41:33.967026,sad,0.286,0.232,0.0,0.076,0.12,0.286,0.03,0.25
2026-03-05T13:41:33.974944,sad,0.3,0.238,0.0,0.076,0.114,0.3,0.028,0.236
2026-03-05T13:41:34.016315,sad,0.324,0.23,0.0,0.074,0.116,0.324,0.026,0.222
2026-03-05T13:41:34.024562,sad,0.322,0.234,0.0,0.074,0.12,0.322,0.028,0.216
2026-03-05T13:41:34.231410,sad,0.302,0.248,0.0,0.078,0.118,0.302,0.03,0.218
2026-03-05T13:41:34.237903,sad,0.294,0.244,0.0,0.08,0.12,0.294,0.03,0.226
2026-03-05T13:41:34.347276,sad,0.292,0.226,0.0,0.08,0.124,0.292,0.028,0.244
2026-03-05T13:41:34.360749,sad,0.28,0.222,0.0,0.082,0.12,0.28,0.026,0.262
2026-03-05T13:41:34.746345,neutral,0.272,0.228,0.0,0.088,0.11,0.268,0.026,0.272
